epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,3327.49,0.32148,0.40509,0.23938,0.94669,0.99154,0.99372,0.99266,0.96783,0.99154,0.99372,0.99266,0.97582,0.249,0.50944,0.21517,0.95429,0.0010298,0.0010298,0.0010298
51,3388.3,0.32299,0.40237,0.24409,0.95198,0.99152,0.99136,0.99231,0.96769,0.99435,0.99418,0.99234,0.97672,0.26541,0.50201,0.23284,0.96441,0.00101,0.00101,0.00101
52,3449.18,0.33424,0.4062,0.24652,0.95098,0.99154,0.9937,0.99354,0.96265,0.99154,0.9937,0.99018,0.96891,0.26005,0.5141,0.21747,0.95988,0.0009902,0.0009902,0.0009902
53,3517.03,0.33249,0.42906,0.24038,0.94841,0.99575,0.9887,0.99406,0.96896,0.99686,0.99153,0.99412,0.97573,0.24968,0.45702,0.20685,0.96153,0.0009704,0.0009704,0.0009704
54,3584.1,0.32483,0.40476,0.24114,0.94717,0.99436,0.99663,0.99443,0.97618,0.99436,0.99663,0.99443,0.98027,0.25085,0.42408,0.22239,0.94892,0.0009506,0.0009506,0.0009506
55,3659.15,0.32469,0.42206,0.24065,0.95349,0.99373,0.99435,0.99295,0.96832,0.99373,0.99435,0.99295,0.97352,0.2568,0.47742,0.24266,0.9442,0.0009308,0.0009308,0.0009308
56,3730.47,0.31725,0.40862,0.23706,0.94454,0.99387,0.99435,0.99355,0.97411,0.99387,0.99435,0.99355,0.97682,0.22736,0.47581,0.19987,0.92086,0.000911,0.000911,0.000911
57,3801.72,0.31104,0.39833,0.22783,0.94059,0.98969,0.9887,0.99277,0.97741,0.98969,0.9887,0.99277,0.98139,0.2294,0.44815,0.20185,0.94198,0.0008912,0.0008912,0.0008912
58,3872.49,0.31272,0.38529,0.22989,0.94509,0.99716,0.99136,0.99406,0.96667,0.99716,0.99136,0.99406,0.97788,0.26657,0.45403,0.21831,0.98921,0.0008714,0.0008714,0.0008714
59,3944.06,0.311,0.41098,0.232,0.93629,0.99492,0.9887,0.99346,0.97415,0.99492,0.9887,0.99346,0.97954,0.22402,0.41044,0.19182,0.91484,0.0008516,0.0008516,0.0008516
60,4016.04,0.31127,0.40113,0.23291,0.93957,0.99714,0.98543,0.99329,0.97276,0.99714,0.98543,0.99329,0.97811,0.23898,0.43267,0.20591,0.93846,0.0008318,0.0008318,0.0008318
61,4088.14,0.31566,0.40392,0.23508,0.94696,0.99646,0.99153,0.99366,0.97647,0.99646,0.99153,0.99366,0.98031,0.21781,0.45388,0.20391,0.91282,0.000812,0.000812,0.000812
62,4161.69,0.31154,0.37924,0.2315,0.93701,0.99688,0.99435,0.9935,0.96593,0.99695,0.99153,0.99349,0.97554,0.24235,0.41611,0.20339,0.93531,0.0007922,0.0007922,0.0007922
63,4232.84,0.30287,0.41735,0.22821,0.93719,0.99435,0.99429,0.99264,0.97119,0.99136,0.99435,0.99264,0.97778,0.24123,0.43613,0.20041,0.95399,0.0007724,0.0007724,0.0007724
64,4296.21,0.31007,0.39822,0.226,0.94629,0.99631,0.99435,0.99259,0.97394,0.99631,0.99435,0.99259,0.97606,0.23887,0.51729,0.20686,0.95257,0.0007526,0.0007526,0.0007526
65,4357.42,0.30296,0.36928,0.21932,0.93231,0.99717,0.99385,0.99273,0.97235,0.99717,0.99385,0.99273,0.97854,0.23259,0.47234,0.20649,0.93195,0.0007328,0.0007328,0.0007328
66,4418.29,0.30012,0.36957,0.22004,0.93404,0.99116,0.99153,0.99329,0.97749,0.99116,0.99153,0.99329,0.98316,0.2094,0.44634,0.19355,0.90993,0.000713,0.000713,0.000713
67,4479.58,0.29868,0.37785,0.21407,0.93018,0.99155,0.99413,0.99384,0.97493,0.99107,0.99153,0.99384,0.97993,0.2161,0.46008,0.19621,0.91741,0.0006932,0.0006932,0.0006932
68,4545,0.30916,0.40011,0.22011,0.93748,0.99435,0.99432,0.99333,0.97825,0.99435,0.99432,0.99333,0.98045,0.2109,0.46012,0.18827,0.91717,0.0006734,0.0006734,0.0006734
69,4612.01,0.31001,0.37683,0.21954,0.94265,0.99147,0.98495,0.99317,0.97779,0.99147,0.98495,0.99317,0.9795,0.20632,0.422,0.18393,0.90559,0.0006536,0.0006536,0.0006536
70,4679.23,0.30171,0.39368,0.22139,0.93682,0.98867,0.98562,0.99047,0.97307,0.98583,0.98279,0.98843,0.97624,0.23101,0.42998,0.19835,0.93564,0.0006338,0.0006338,0.0006338
71,4745.43,0.29395,0.36448,0.21598,0.93727,0.99147,0.98556,0.98661,0.96981,0.99147,0.98556,0.98521,0.97261,0.21775,0.44668,0.18685,0.91821,0.000614,0.000614,0.000614
72,4812.23,0.30767,0.4031,0.22016,0.9453,0.99588,0.99435,0.99285,0.97413,0.99588,0.99435,0.99285,0.97767,0.20912,0.45066,0.18811,0.91422,0.0005942,0.0005942,0.0005942
73,4878.42,0.28794,0.34332,0.20941,0.92475,0.9887,0.98824,0.99224,0.97473,0.9887,0.98824,0.99224,0.97976,0.22675,0.45715,0.17757,0.92272,0.0005744,0.0005744,0.0005744
74,4941.06,0.29077,0.36942,0.20635,0.92831,0.99434,0.99257,0.99301,0.97747,0.99434,0.99257,0.99301,0.98051,0.21866,0.50633,0.17625,0.92913,0.0005546,0.0005546,0.0005546
75,5002.26,0.29207,0.37314,0.21458,0.92886,0.99628,0.99435,0.99296,0.97984,0.99628,0.99435,0.99296,0.98054,0.21225,0.46746,0.1705,0.92942,0.0005348,0.0005348,0.0005348
76,5063.84,0.28882,0.33927,0.2065,0.9308,0.99376,0.99435,0.99241,0.97759,0.99376,0.99435,0.99241,0.97871,0.19563,0.46092,0.18424,0.89721,0.000515,0.000515,0.000515
77,5125.98,0.29145,0.35791,0.20972,0.92943,0.99394,0.99435,0.99288,0.97834,0.99394,0.99435,0.99288,0.98001,0.19671,0.50301,0.1717,0.90712,0.0004952,0.0004952,0.0004952
78,5189.4,0.28452,0.35294,0.20872,0.92498,0.99717,0.99393,0.99409,0.97947,0.99717,0.99393,0.99409,0.98235,0.20635,0.474,0.16917,0.91794,0.0004754,0.0004754,0.0004754
79,5256.24,0.29031,0.35737,0.20846,0.93293,0.99592,0.99153,0.99281,0.97795,0.99592,0.99153,0.99281,0.98091,0.21711,0.49,0.17296,0.93143,0.0004556,0.0004556,0.0004556
80,5323.4,0.28377,0.35491,0.20282,0.93141,0.99519,0.99153,0.99338,0.9748,0.99519,0.99153,0.99338,0.97774,0.20976,0.49045,0.17772,0.91041,0.0004358,0.0004358,0.0004358
81,5389.83,0.28402,0.34642,0.20353,0.9355,0.99277,0.99435,0.99425,0.98251,0.99277,0.99435,0.99425,0.98305,0.19691,0.49426,0.17425,0.90123,0.000416,0.000416,0.000416
82,5456.3,0.2814,0.36611,0.20767,0.93,0.99146,0.99435,0.99417,0.98303,0.99146,0.99435,0.99417,0.98243,0.19663,0.46628,0.17942,0.89627,0.0003962,0.0003962,0.0003962
83,5522.78,0.27044,0.33718,0.196,0.9221,0.994,0.99435,0.9942,0.98274,0.994,0.99435,0.9942,0.98384,0.19814,0.47063,0.1669,0.90475,0.0003764,0.0003764,0.0003764
84,5589.18,0.27524,0.3417,0.1977,0.92302,0.99591,0.99153,0.99412,0.97897,0.99591,0.99153,0.99412,0.98078,0.19559,0.46098,0.16162,0.89684,0.0003566,0.0003566,0.0003566
